active_days,heating_type,small_room_cnt,property_condition_type,balcony_area,trend_nmAr,nmAr,room_cnt,postcode,county,created_at,property_subtype,garden_access,view_type,elevator_type,nr,ad_view_cnt,property_type,orientation,city,property_area,property_floor,jelen_nmAr,price_created_at,building_floor_count,condition_mapping,condition_dummy,condition=_good,condition=_medium,condition=_missing_info,condition=_new_construction,condition=_novel,condition=_renewed,condition=_to_be_renovated,condition=_under_construction,heating_type=_central heating with own meter,heating_type=_district heating,heating_type=_electric,heating_type=_fan-coil,heating_type=_gas furnace,"heating_type=_gas furnace, circulating hot water",heating_type=_konvection gas burner,heating_type=_other,heating_type=_tile stove (gas),ker_code_from_postcode,time,year,month,day,daynum,ori_from_postcode,ori=_north,ori=_north-east,ori=_north-west,ori=_south,ori=_south-east,ori=_south-west,ori=_west,roman,emelet,emelet_epulet,emelet_median,tipp,tipp_arany
4.0,konvection gas burner,0.0,medium,0.0,374114.79328168964,366666.6666666667,2.0,0,Budapest,2015-10-16,1,0,1,1,188950,210.0,flat,,Budapest XIII.,45.0,3,445259.73768253933,16.5,6,4,medium,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13.0,2015-10-16,2015,10,16,249,west,0,0,0,0,0,0,1,XIII,3.0,6.0,3.0,477384.739224855,0.9327062662403536
2.0,konvection gas burner,0.0,missing_info,0.0,396557.777123597,320000.0,2.0,0,Budapest,2016-01-13,1,0,0,0,250405,12.0,flat,,Budapest XIII.,50.0,,366598.2470240065,16.0,,6,missing_info,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13.0,2016-01-13,2016,1,13,338,west,0,0,0,0,0,0,1,XIII,4.0,4.0,2.0,475412.11406072264,0.7711167557189809
57.0,district heating,2.0,novel,0.0,343854.5903487809,260000.0,1.0,3,Budapest,2015-06-18,2,0,0,1,95502,225.0,flat,west,Budapest III.,50.0,9,343514.75707857223,13.0,,2,novel,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3.0,2015-06-18,2015,6,18,129,west,0,0,0,0,0,0,1,III,9.0,9.0,9.0,435015.3300797077,0.789661267835389
19.0,konvection gas burner,0.0,good,0.0,333515.68768003705,300000.0,1.0,13,Budapest,2015-05-08,1,0,0,0,62397,68.0,flat,,Budapest XIII.,30.0,1,408650.34045091853,9.0,3,1,good,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13.0,2015-05-08,2015,5,8,88,west,0,0,0,0,0,0,1,XIII,1.0,3.0,1.0,508800.71850843285,0.8031638431032317
13.0,district heating,1.0,good,3.0,360749.87031965493,198333.33333333334,2.0,15,Budapest,2015-08-24,2,0,1,1,143461,303.0,flat,,Budapest XV.,60.0,0,249767.77467958684,11.9,10,1,good,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15.0,2015-08-24,2015,8,24,196,south-west,0,0,0,0,0,1,0,XV,0.0,10.0,0.0,285983.892989298,0.8733630837346968
15.0,district heating,0.0,to_be_renovated,4.0,421270.2761854725,300000.0,2.0,0,Budapest,2016-04-20,2,0,1,0,327461,456.0,flat,,Budapest XI.,50.0,0,323524.6040861531,15.0,,5,to_be_renovated,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,11.0,2016-04-20,2016,4,20,436,east,0,0,0,0,0,0,0,XI,0.0,0.0,0.0,388411.2346834402,0.8329434763899904
3.0,"gas furnace, circulating hot water",0.0,good,0.0,352176.1461553308,360000.0,1.0,13,Budapest,2015-07-21,1,0,0,1,119410,22.0,flat,west,Budapest XIII.,35.0,3,464397.03814371355,12.6,,1,good,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13.0,2015-07-21,2015,7,21,162,west,0,0,0,0,0,0,1,XIII,3.0,3.0,3.0,584464.3963878615,0.7945685674162623
47.0,district heating,1.0,medium,3.0,440435.07137631474,328571.4285714286,1.0,15,Budapest,2016-07-05,2,0,2,1,377415,308.0,flat,south-east,Budapest XV.,35.0,6,338918.1124793456,11.5,7,4,medium,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15.0,2016-07-05,2016,7,5,512,south-east,0,0,0,0,1,0,0,XV,6.0,7.0,6.0,378605.2297330493,0.8951754647401815
35.0,district heating,0.0,good,3.0,443713.26002737985,272000.0,2.0,10,Budapest,2016-07-18,2,0,1,0,382896,333.0,flat,,Budapest X.,50.0,5,278492.4165643261,13.6,,1,good,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10.0,2016-07-18,2016,7,18,525,south-west,0,0,0,0,0,1,0,X,5.0,5.0,5.0,300542.5848465774,0.9266321333680297
10.0,"gas furnace, circulating hot water",1.0,novel,0.0,319394.25964467967,353333.3333333333,1.0,0,Budapest,2015-03-13,1,0,1,0,23690,79.0,flat,,Budapest XIV.,45.0,1,502579.0501608277,15.9,,2,novel,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,14.0,2015-03-13,2015,3,13,32,south-west,0,0,0,0,0,1,0,XIV,1.0,1.0,1.0,540026.0311714624,0.9306570816051181
57.0,konvection gas burner,0.0,medium,0.0,382436.3490882396,337500.0,1.0,0,Budapest,2015-11-18,1,0,3,0,215448,369.0,flat,,Budapest XI.,40.0,1,400923.4794135983,13.5,3,4,medium,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11.0,2015-11-18,2015,11,18,282,east,0,0,0,0,0,0,0,XI,1.0,3.0,1.0,478239.4361694923,0.8383321179550477
73.0,konvection gas burner,1.0,medium,0.0,378653.82372162596,250909.0909090909,1.0,0,Budapest,2015-11-03,1,1,1,0,202534,292.0,flat,east,Budapest VIII.,55.0,3,301037.72776000615,13.8,4,4,medium,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8.0,2015-11-03,2015,11,3,267,east,0,0,0,0,0,0,0,VIII,3.0,4.0,3.0,324900.07228337013,0.9265548192843989
31.0,district heating,1.0,good,6.0,347384.9473576202,266666.6666666667,2.0,14,Budapest,2015-07-02,0,0,4,1,106944,339.0,flat,west,Budapest XIV.,60.0,4,348742.2887372707,16.0,9,1,good,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14.0,2015-07-02,2015,7,2,143,west,0,0,0,0,0,0,1,XIV,4.0,9.0,4.0,385450.18016326916,0.9047661842823638
30.0,central heating with own meter,0.0,medium,4.0,431609.1788542163,245454.54545454544,2.0,0,Budapest,2016-05-31,1,0,4,0,357084,307.0,flat,south-west,Budapest XVIII.,55.0,4,258361.1946643301,13.5,4,4,medium,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,18.0,2016-05-31,2016,5,31,477,south-west,0,0,0,0,0,1,0,XVIII,4.0,4.0,4.0,320452.41888322396,0.8062388655536393
6.0,district heating,0.0,to_be_renovated,3.0,377392.98193275474,221428.57142857142,3.0,0,Budapest,2015-10-29,2,0,1,1,199770,203.0,flat,,Budapest XIV.,70.0,3,266554.9277145857,15.5,3.0,5,to_be_renovated,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,14.0,2015-10-29,2015,10,29,262,south-west,0,0,0,0,0,1,0,XIV,3.0,10.0,3.0,313614.29331712064,0.8499450866706848
29.0,district heating,1.0,to_be_renovated,4.0,318385.58621358266,186000.0,1.0,0,Budapest,2015-03-09,2,0,1,1,20228,127.0,flat,south-west,Budapest VIII.,50.0,2,265403.3638298545,9.3,2.0,5,to_be_renovated,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,8.0,2015-03-09,2015,3,9,28,south-west,0,0,0,0,0,1,0,VIII,2.0,11.0,2.0,280532.86480252765,0.9460687039883079
39.0,district heating,2.0,missing_info,0.0,394036.0935458546,307272.7272727273,1.0,0,Budapest,2016-01-03,2,0,1,0,241775,611.0,flat,west,Budapest XIII.,55.0,3,354270.4160894292,16.9,,6,missing_info,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13.0,2016-01-03,2016,1,3,328,west,0,0,0,0,0,0,1,XIII,3.0,3.0,3.0,406247.15662306856,0.8720563585830453
91.0,district heating,1.0,novel,7.0,368062.7526951079,258333.33333333334,2.0,0,Budapest,2015-09-22,1,0,0,1,167430,85.0,flat,south-west,Budapest XX.,60.0,3,318863.9744976931,15.5,,2,novel,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,20.0,2015-09-22,2015,9,22,225,south-west,0,0,0,0,0,1,0,XX,3.0,3.0,3.0,384179.5342266774,0.8299868839696023
24.0,konvection gas burner,2.0,renewed,0.0,377645.150290529,322500.0,1.0,0,Budapest,2015-10-30,1,1,2,0,199961,32.0,flat,east,Budapest IV.,40.0,0,387965.12189330894,12.9,1,3,renewed,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,4.0,2015-10-30,2015,10,30,263,east,0,0,0,0,0,0,0,IV,0.0,1.0,0.0,409084.04264280864,0.9483751049953819
38.0,central heating with own meter,1.0,good,0.0,313342.21905809786,193333.33333333334,1.0,18,Budapest,2015-02-17,2,0,0,0,6191,220.0,flat,,Budapest XVIII.,45.0,6,280307.48915496445,8.7,,1,good,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,18.0,2015-02-17,2015,2,17,8,east,0,0,0,0,0,0,0,XVIII,6.0,6.0,6.0,315181.2771870826,0.8893532371486074
44.0,"gas furnace, circulating hot water",0.0,novel,2.0,383697.19087711076,497500.0,1.0,12,Budapest,2015-11-23,1,0,2,1,218812,310.0,flat,south,Budapest XII.,40.0,4,589048.8908262609,19.9,4,2,novel,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,12.0,2015-11-23,2015,11,23,287,south,0,0,0,1,0,0,0,XII,4.0,4.0,4.0,686226.5388636516,0.8583883855638827
2.0,konvection gas burner,0.0,medium,0.0,442956.7549540571,400000.0,1.0,11,Budapest,2016-07-15,1,0,0,0,382059,46.0,flat,,Budapest XI.,25.0,-1,410247.1186840961,10.0,,4,medium,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11.0,2016-07-15,2016,7,15,522,east,0,0,0,0,0,0,0,XI,-1.0,-1.0,-1.0,434906.65514682373,0.9432992432493299
14.0,other,0.0,novel,0.0,375123.46671278664,568571.4285714285,1.0,2,Budapest,2015-10-20,1,0,0,1,192523,17.0,flat,east,Budapest II.,35.0,1,688585.1871039376,19.9,,2,novel,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2.0,2015-10-20,2015,10,20,253,east,0,0,0,0,0,0,0,II,1.0,1.0,1.0,771524.6221184182,0.8924993025021688
11.0,district heating,0.0,good,0.0,312081.3772692267,178000.0,2.0,0,Budapest,2015-02-12,2,0,1,1,2851,322.0,flat,,Budapest X.,50.0,4,259118.8607125125,8.9,4.0,1,good,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10.0,2015-02-12,2015,2,12,3,south-west,0,0,0,0,0,1,0,X,4.0,10.0,4.0,299878.7290555474,0.8640788278935089
37.0,konvection gas burner,0.0,to_be_renovated,0.0,440182.90301854047,240000.0,1.0,0,Budapest,2016-07-04,1,0,3,0,376304,851.0,flat,east,Budapest IV.,35.0,0,247699.39655821442,8.4,1,5,to_be_renovated,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4.0,2016-07-04,2016,7,4,511,east,0,0,0,0,0,0,0,IV,0.0,1.0,0.0,327081.32001951215,0.7573021796030351
1.0,konvection gas burner,1.0,missing_info,0.0,394288.2619036288,293333.3333333333,1.0,16,Budapest,2016-01-04,1,0,0,0,242469,30.0,flat,,Budapest XVI.,45.0,3,337982.68082447205,13.2,,6,missing_info,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,16.0,2016-01-04,2016,1,4,329,south-west,0,0,0,0,0,1,0,XVI,3.0,3.0,3.0,418837.344589625,0.8069545020051304
76.0,konvection gas burner,0.0,renewed,0.0,419252.9293232786,263333.3333333333,1.0,20,Budapest,2016-04-12,1,0,2,0,320676,111.0,flat,,Budapest XX.,30.0,0,285349.1662832147,7.9,1,3,renewed,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,20.0,2016-04-12,2016,4,12,428,south-west,0,0,0,0,0,1,0,XX,0.0,1.0,0.0,360814.2811934756,0.790847760624544
58.0,central heating with own meter,1.0,novel,4.0,355454.3348063959,358000.0,1.0,14,Budapest,2015-08-03,1,0,3,1,129707,353.0,flat,east,Budapest XIV.,50.0,4,457557.9324581328,17.9,7,2,novel,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,14.0,2015-08-03,2015,8,3,175,east,0,0,0,0,0,0,0,XIV,4.0,7.0,4.0,568631.7915402234,0.8046647044105103
16.0,konvection gas burner,0.0,good,2.0,362010.71210852615,240000.0,2.0,0,Budapest,2015-08-29,1,0,2,0,147840,245.0,flat,south-east,Budapest XVII.,55.0,2,301187.3290098907,13.2,2,1,good,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17.0,2015-08-29,2015,8,29,201,south-east,0,0,0,0,1,0,0,XVII,2.0,2.0,2.0,369296.4895718037,0.8155705172261858
8.0,"gas furnace, circulating hot water",0.0,good,0.0,369323.5944839791,430000.0,1.0,0,Budapest,2015-09-27,1,0,0,1,171485,10.0,flat,east,Budapest XIV.,30.0,4,528942.2752048143,12.9,,1,good,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14.0,2015-09-27,2015,9,27,230,east,0,0,0,0,0,0,0,XIV,4.0,4.0,4.0,560203.4974142156,0.9441966671866622
43.0,konvection gas burner,0.0,good,0.0,405383.66964569537,372500.0,1.0,13,Budapest,2016-02-17,1,0,0,0,279610,18.0,flat,,Budapest XIII.,40.0,0,417452.3445048545,14.9,,1,good,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13.0,2016-02-17,2016,2,17,373,west,0,0,0,0,0,0,1,XIII,0.0,0.0,0.0,445737.5743017869,0.936542864170159
36.0,central heating with own meter,2.0,novel,2.0,443461.0916696056,376923.07692307694,1.0,13,Budapest,2016-07-17,2,0,0,1,382577,66.0,flat,south,Budapest XIII.,65.0,1,386139.36946669867,24.5,,2,novel,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,13.0,2016-07-17,2016,7,17,524,south,0,0,0,1,0,0,0,XIII,1.0,1.0,1.0,435172.4869610522,0.8873248678086996
21.0,central heating with own meter,1.0,good,4.0,390757.90489478945,380000.0,1.0,9,Budapest,2015-12-21,1,0,2,0,239045,336.0,flat,,Budapest IX.,40.0,4,441796.9377918609,15.2,4,1,good,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9.0,2015-12-21,2015,12,21,315,south-west,0,0,0,0,0,1,0,IX,4.0,4.0,4.0,518089.3655555239,0.8527427258000981
19.0,konvection gas burner,0.0,to_be_renovated,0.0,410931.37351672864,623076.9230769231,2.0,5,Budapest,2016-03-10,1,0,3,1,297718,29.0,flat,,Budapest V.,65.0,3,688841.4051015726,40.5,6,5,to_be_renovated,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,5.0,2016-03-10,2016,3,10,395,west,0,0,0,0,0,0,1,V,3.0,6.0,3.0,749533.8850371703,0.9190263693914414
4.0,"gas furnace, circulating hot water",1.0,good,2.0,316116.0709936145,260000.0,1.0,15,Budapest,2015-02-28,1,0,2,0,14229,28.0,flat,,Budapest XV.,50.0,2,373657.4534244399,13.0,,1,good,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15.0,2015-02-28,2015,2,28,19,south-west,0,0,0,0,0,1,0,XV,2.0,2.0,2.0,448015.44332510675,0.8340280653077661
26.0,konvection gas burner,0.0,good,0.0,446234.9436051222,356000.0,1.0,0,Budapest,2016-07-28,1,0,3,0,387170,532.0,flat,east,Budapest IV.,25.0,0,362437.6445030406,8.9,,1,good,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4.0,2016-07-28,2016,7,28,535,east,0,0,0,0,0,0,0,IV,0.0,0.0,0.0,463026.3086596206,0.7827582099000672
2.0,konvection gas burner,2.0,good,5.0,335028.6978266825,241818.18181818182,1.0,0,Budapest,2015-05-14,1,0,2,0,67995,73.0,flat,south-east,Budapest XVI.,55.0,3,327909.3643029093,13.3,,1,good,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,16.0,2015-05-14,2015,5,14,94,south-east,0,0,0,0,1,0,0,XVI,3.0,3.0,3.0,372276.9801563573,0.8808209526282998
14.0,central heating,0.0,good,0.0,443965.42838515405,757142.8571428572,1.0,5,Budapest,2016-07-19,1,0,1,1,383537,64.0,flat,,Budapest V.,35.0,,774774.9199248797,26.5,5,1,good,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,2016-07-19,2016,7,19,526,west,0,0,0,0,0,0,1,V,4.0,5.0,2.0,869290.3006197172,0.8912729376740341
22.0,electric,0.0,renewed,0.0,353436.98794420203,327272.7272727273,2.0,7,Budapest,2015-07-26,1,0,0,0,123632,36.0,flat,north-west,Budapest VII.,55.0,2,420673.0549075804,18.0,,3,renewed,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,7.0,2015-07-26,2015,7,26,167,north-west,0,0,1,0,0,0,0,VII,2.0,2.0,2.0,525440.2260132077,0.8006106766880962
12.0,district heating,1.0,medium,0.0,319142.0912869054,175555.55555555556,1.0,0,Budapest,2015-03-12,2,0,4,1,23147,134.0,flat,,Budapest XXI.,45.0,8,249906.39406997737,7.9,8.0,4,medium,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,21.0,2015-03-12,2015,3,12,31,east,0,0,0,0,0,0,0,XXI,8.0,10.0,8.0,279004.4399986008,0.8957075882779164
12.0,district heating,2.0,good,0.0,408914.02665453474,228333.33333333334,1.0,19,Budapest,2016-03-02,2,0,0,0,291401,88.0,flat,south-east,Budapest XIX.,60.0,1,253678.80653539894,13.7,,1,good,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19.0,2016-03-02,2016,3,2,387,south-east,0,0,0,0,1,0,0,XIX,1.0,1.0,1.0,272842.84394658863,0.9297616271184257
66.0,district heating,0.0,missing_info,0.0,367054.07926401094,368571.4285714286,1.0,11,Budapest,2015-09-18,1,0,0,0,164477,152.0,flat,,Budapest XI.,35.0,,456182.3604806888,12.9,,6,missing_info,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11.0,2015-09-18,2015,9,18,221,east,0,0,0,0,0,0,0,XI,4.0,4.0,2.0,549705.8369078991,0.8298663209521645
24.0,konvection gas burner,0.0,renewed,0.0,375123.46671278664,220000.0,2.0,0,Budapest,2015-10-20,1,0,1,0,192564,93.0,flat,south-west,Budapest XX.,50.0,3,266437.48445730255,11.0,3,3,renewed,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,20.0,2015-10-20,2015,10,20,253,south-west,0,0,0,0,0,1,0,XX,3.0,3.0,3.0,326692.266563136,0.8155610393238717
8.0,district heating,2.0,good,4.0,313594.38741587213,150909.0909090909,1.0,18,Budapest,2015-02-18,2,0,0,0,7333,61.0,flat,,Budapest XVIII.,55.0,10,218622.0683359603,8.3,11,1,good,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18.0,2015-02-18,2015,2,18,9,east,0,0,0,0,0,0,0,XVIII,10.0,11.0,10.0,257949.36755970173,0.8475386871625524
3.0,konvection gas burner,1.0,medium,0.0,420009.4343966013,352000.0,0.0,13,Budapest,2016-04-15,1,0,0,0,323559,72.0,flat,,Budapest XIII.,25.0,1,380741.7439579926,8.8,,4,medium,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13.0,2016-04-15,2016,4,15,431,west,0,0,0,0,0,0,1,XIII,1.0,1.0,1.0,487823.3100367567,0.7804910838092266
107.0,district heating,0.0,novel,0.0,360749.87031965493,296000.0,2.0,3,Budapest,2015-08-24,2,0,0,1,142778,154.0,flat,east,Budapest III.,50.0,5,372762.6620428119,14.8,,2,novel,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3.0,2015-08-24,2015,8,24,196,east,0,0,0,0,0,0,0,III,5.0,5.0,5.0,436240.4063192464,0.8544890767638322
63.0,central heating with own meter,1.0,new_construction,3.0,341332.9067710385,500000.0,1.0,6,Budapest,2015-06-08,1,0,2,1,86159,365.0,flat,,Budapest VI.,60.0,3,665485.6915958576,30.0,9,7,new_construction,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,6.0,2015-06-08,2015,6,8,119,south-east,0,0,0,0,1,0,0,VI,3.0,9.0,3.0,742694.9947977557,0.896041707911438
4.0,district heating,2.0,novel,0.0,364532.3956862686,227142.85714285713,2.0,15,Budapest,2015-09-08,2,0,0,0,155272,14.0,flat,east,Budapest XV.,70.0,3,283080.4202564428,15.9,,2,novel,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,15.0,2015-09-08,2015,9,8,211,east,0,0,0,0,0,0,0,XV,3.0,3.0,3.0,303305.9769955349,0.9333163265048685
6.0,electric,0.0,good,3.0,453043.4892650267,353333.3333333333,1.0,14,Budapest,2016-08-24,1,0,0,0,393908,78.0,flat,south-east,Budapest XIV.,45.0,1,354316.67696948297,15.9,,1,good,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14.0,2016-08-24,2016,8,24,562,south-east,0,0,0,0,1,0,0,XIV,1.0,1.0,1.0,433413.8310379528,0.8175020075408173
7.0,konvection gas burner,0.0,good,0.0,433626.52571641025,482857.14285714284,2.0,5,Budapest,2016-06-08,1,0,1,0,362246,15.0,flat,,Budapest V.,70.0,1,505882.5470095291,33.8,2,1,good,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5.0,2016-06-08,2016,6,8,485,west,0,0,0,0,0,0,1,V,1.0,2.0,1.0,662331.0073012582,0.7637911277486527
6.0,central heating with own meter,1.0,novel,4.0,430096.1687075709,508888.8888888889,1.0,13,Budapest,2016-05-25,1,0,1,1,353522,96.0,flat,,Budapest XIII.,45.0,7,537531.9360368866,22.9,8,2,novel,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,13.0,2016-05-25,2016,5,25,471,west,0,0,0,0,0,0,1,XIII,7.0,8.0,7.0,644046.0054504109,0.8346172967270652
35.0,central heating with own meter,1.0,medium,0.0,365541.0691173655,264444.44444444444,1.0,14,Budapest,2015-09-12,2,0,0,1,159626,101.0,flat,east,Budapest XIV.,45.0,2,328658.7105638732,11.9,2.0,4,medium,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,14.0,2015-09-12,2015,9,12,215,east,0,0,0,0,0,0,0,XIV,2.0,10.0,2.0,372094.26345952397,0.8832673406684334
